gene	earlyCount	lateCount	pVal	pVal.adj	percentChange	logChange	plotScore	geneLabel
NUTF2	55	2	0.001676051599354991	0.15508096333874408	-83.66379847861329	2.613855526539422	1.8638079543161636	
CAMTA2	79	5	0.0017040023543599529	0.15591065978785448	-71.56673785834593	1.8143484663045026	1.8584721294518551	
PSMB9	80	5	0.001757774639626598	0.15888930607886273	-71.9221536351166	1.8324958130147622	1.8395475073966865	
RDH13	44	1	0.001782288600939699	0.15987536908123973	-89.78987404913332	3.2919274316520593	1.8333607105244834	
NFKBIL1	271	36	0.0019094223544898728	0.1637773016994318	-40.3216254384766	0.7447198529263213	1.809247690428872	
POU2F2	127	12	0.0019976107857601387	0.16471250206223054	-57.55160234600305	1.2362179990657718	1.8035537365905843	
FLT3LG	253	33	0.002175129717255478	0.1762755124653043	-41.40275541241725	0.771095268350619	1.735707096189063	
RNF19A	175	20	0.0022154945208292453	0.17831695968674288	-48.65765236135607	0.9617788299597285	1.7241926398101748	
TAF1	76	5	0.002389142022323029	0.17874344365745345	-70.44437224749116	1.7584952315709852	1.7218037769201262	
VPS51	131	13	0.002448957061428815	0.17874344365745345	-55.41838134430728	1.1654790964111204	1.7218037769201262	
ANKRD13D	198	24	0.002381324861860725	0.17874344365745345	-45.54599492871098	0.8768899323732154	1.7218037769201262	
CHD4	411	62	0.002420605591463715	0.17874344365745345	-32.23059952806731	0.5612940863095699	1.7218037769201262	
RBM6	593	96	0.002247727122894187	0.17874344365745345	-27.2722225692059	0.4594216068396096	1.7218037769201262	
MAP3K14	149	16	0.0025054656090280542	0.17910750769505873	-51.758867990535904	1.0516643334769238	1.719769051781995	
NCAPH2	170	19	0.0024937101966984515	0.17910750769505873	-49.79020414750263	0.9939592357088785	1.719769051781995	
ABHD16A	149	16	0.0025054382916654726	0.17910750769505873	-51.758867990535904	1.0516643334769238	1.719769051781995	
DEAF1	313	44	0.002564391369652839	0.18153110231801511	-36.847272073872475	0.6630830413100831	1.7063282773244386	
MARS	116	11	0.0028174847523287886	0.19767862392424723	-57.399129653280355	1.231045189505037	1.621112678453858	
PPP1R10	67	4	0.0032123607805389625	0.20515462789192038	-73.17937063652928	1.8985850034725347	1.5839913017721199	
PTPN11	67	4	0.0032123607805389625	0.20515462789192038	-73.17937063652928	1.8985850034725347	1.5839913017721199	
TMEM204	237	31	0.0033902323339752485	0.21190755402416567	-41.237924907248235	0.767042751526146	1.5516051653382652	
UNK	275	38	0.0034325644298693575	0.21229507692313063	-37.922434218730515	0.6878561079831986	1.5497780997875357	
MSL1	75	5	0.0034303218181168556	0.21229507692313063	-70.05029721079104	1.7393864086232806	1.5497780997875357	
XRCC6	141	15	0.0035860009213216806	0.219474462637766	-52.20792108104953	1.065156569805037	1.5165193965712398	
ENTHD1	141	15	0.0035860009213216806	0.219474462637766	-52.20792108104953	1.065156569805037	1.5165193965712398	
CD48	50	2	0.003606112437367205	0.21956179923058045	-82.03017832647463	2.4763520027894868	1.5161215406237842	
RETREG3	152	17	0.00382169794211934	0.22567222370776063	-49.75543282073497	0.9929604852080083	1.4886716700436997	
MDC1	115	11	0.00376925565128185	0.22567222370776063	-57.028687302439316	1.21855424532184	1.4886716700436997	
CARD8	679	115	0.00385524053798906	0.2260091206932569	-23.912758009741587	0.3942735263151186	1.4871799234743657	
ADCK5	244	33	0.004061652710444782	0.22825445935153263	-39.241381636645755	0.718839031219195	1.4772942225608525	
OBSCN	101	9	0.004287412941071555	0.23118517138984823	-59.968219044126634	1.3207822943242444	1.4645362818279792	
RAB40C	260	36	0.004319180336867735	0.23118517138984823	-37.79677113010445	0.684938624600904	1.4645362818279792	
IKZF4	86	7	0.004622086418452327	0.23436305837523289	-63.43350240852394	1.451405645659256	1.4508838344878443	
ZNF584	80	6	0.004830342229655718	0.23436305837523289	-66.30658436213992	1.569461407180968	1.4508838344878443	
AGFG2	192	24	0.004767332429054874	0.23436305837523289	-43.844307270233195	0.8324958130147622	1.4508838344878443	
MECP2	822	144	0.004679601572555741	0.23436305837523289	-21.300051064852358	0.3455653952541325	1.4508838344878443	
TYK2	120	12	0.0046529968255664906	0.23436305837523289	-55.075445816186566	1.1544239079021246	1.4508838344878443	
MAPK8IP3	609	102	0.00491459624886037	0.23476187203397644	-24.756904322676995	0.41036888894959905	1.4491835890778593	
HNRNPM	362	55	0.005319982371635537	0.25006045139635674	-31.74446187542156	0.5509819865733077	1.3860525847647223	
TRIP4	49	2	0.0055993292283566904	0.2590461329229113	-81.66344727191289	2.4472056571299703	1.3507491137504952	
IP6K2	166	20	0.005851609444379043	0.26860258820663335	-45.87403110383922	0.8856071494743246	1.31452235902493	
CDK13	165	20	0.005842882337070349	0.26860258820663335	-45.54599492871098	0.8768899323732158	1.31452235902493	
WASF2	251	35	0.005909102616720855	0.2701862445489757	-37.35619934528005	0.6747563500205674	1.3086437631568906	
POLRMT	178	22	0.005954301986659695	0.2711976846714654	-44.47527010989349	0.8487976253438625	1.304907260299444	
CYTH1	684	118	0.006201663547233572	0.27249587045537316	-22.49857611564348	0.36770527853881874	1.3001318192858744	
TNRC6B	1219	226	0.006510065864895456	0.27249587045537316	-16.710834737146538	0.26379926121978664	1.3001318192858744	
AGBL5	39	1	0.006464524432072913	0.27249587045537316	-88.48088354261195	3.1178980318770106	1.3001318192858744	
MOB1A	84	7	0.00633901063739951	0.27249587045537316	-62.562871513488794	1.417458313735918	1.3001318192858744	
HCG20	295	43	0.006075106091029361	0.27249587045537316	-34.51675152867871	0.6108022025618676	1.3001318192858744	
PPP1R16A	240	33	0.006110199190554495	0.27249587045537316	-38.228737997256516	0.6949922892648274	1.3001318192858744	
FRMD8	116	12	0.006051849205482806	0.27249587045537316	-53.52632325812402	1.105514307421178	1.3001318192858744	
PHF12	84	7	0.006338862184811406	0.27249587045537316	-62.562871513488794	1.417458313735918	1.3001318192858744	
MSH5	137	15	0.006127983030573593	0.27249587045537316	-50.81253191553272	1.0236373003667703	1.3001318192858744	
NCR3	62	4	0.006437381503558416	0.27249587045537316	-71.01641665560423	1.7866921234016373	1.3001318192858744	
SH2D1A	38	1	0.006170584062362617	0.27249587045537316	-88.17774889899647	3.0804233264583476	1.3001318192858744	
DGKA	83	7	0.006310783420023468	0.27249587045537316	-62.111821772687456	1.4001803223040825	1.3001318192858744	
TOX	140	16	0.00698512932376805	0.2806540854300065	-48.65765236135607	0.9617788299597289	1.2706323806715312	
RFX1	121	13	0.007238993669134491	0.2806540854300065	-51.733950050448364	1.0509193321482646	1.2706323806715312	
NUP188	463	75	0.007437546558532169	0.2865528183911853	-27.228043978703926	0.4585455057791177	1.2498324024327414	
AKAP8	45	2	0.007753717046410267	0.2939159000398937	-80.03353147386069	2.3243489093444367	1.2244616068508625	
SNRNP200	46	2	0.007910981119723343	0.29712358986719595	-80.46758513747243	2.356057769071775	1.2136070992374972	
USP4	270	39	0.008036593358747764	0.2998032017734761	-35.10897729004726	0.623909191203345	1.204629013672615	
FOXK2	317	48	0.008346494575424737	0.30178356232558795	-31.97543845984085	0.5558723424330132	1.1980451995869936	
PRPF8	126	14	0.008547939829369501	0.30811914397215034	-50.083828684651735	1.0024208144570745	1.1772687397300048	
MVB12A	82	7	0.008686109905335783	0.3111904801756122	-61.649770818695835	1.3826928955752416	1.167350077841139	
TRIM4	53	3	0.008747558420010954	0.3114926030107537	-74.57100706576597	1.975453766856805	1.166379687390499	
CANX	290	43	0.008739059597838493	0.3114926030107537	-33.3877300033111	0.5861401483275986	1.166379687390499	
ESRRA	54	3	0.009089246085126502	0.3226236325554426	-75.04191434232587	2.0024208144570745	1.1312688594476765	
VBP1	67	5	0.009142512947065133	0.3226236325554426	-66.47421329566161	1.5766569085851723	1.1312688594476765	
UBTF	67	5	0.009142512947065133	0.3226236325554426	-66.47421329566161	1.5766569085851723	1.1312688594476765	
COPZ1	35	1	0.009263465544135005	0.32301182079860663	-87.16441309033901	2.9617788299597287	1.1300663595294198	
EMG1	149	18	0.009202709839648077	0.32301182079860663	-45.72872648935289	0.8817393320346114	1.1300663595294198	
DAPP1	35	1	0.009263465544135005	0.32301182079860663	-87.16441309033901	2.9617788299597287	1.1300663595294198	
HAUS8	35	1	0.009263465544135005	0.32301182079860663	-87.16441309033901	2.9617788299597287	1.1300663595294198	
SPEF2	172	22	0.009322982590189622	0.3241253503470954	-42.53836092768048	0.799328949079563	1.1266249542227116	
TRIM39	36	1	0.009369709770887611	0.3247889661289095	-87.52095717116293	3.0024208144570745	1.124579642549639	
KPNB1	131	15	0.009980754794112917	0.33799380284040603	-48.559670781893004	0.9590282189436938	1.0847277184589008	
CCT3	93	9	0.010189155854548456	0.3420936298479969	-56.52462498340635	1.2017296226804812	1.0726708079027356	
NCOR1	352	55	0.010343667343327518	0.34629183746849473	-29.80538408779149	0.5105677181273998	1.0604733985460537	
PTPRA	486	81	0.010740865739999755	0.3555377839739074	-25.1257430269776	0.4174583137359184	1.0341237513530945	
NPLOC4	2543	508	0.012178977065091816	0.3601586087939656	-10.256887434615702	0.15612687293270266	1.0212107645756066	
ASCC1	312	48	0.011749372243578053	0.3601586087939656	-30.88530125567163	0.5329355311558545	1.0212107645756066	
USP12	86	8	0.010950000488813777	0.3601586087939656	-58.20971703831308	1.2587605677168603	1.0212107645756066	
ACOX1	291	44	0.01110139948674505	0.3601586087939656	-32.0728390347838	0.5579395372857486	1.0212107645756066	
SF3A2	106	11	0.011583010385701456	0.3601586087939656	-53.380179620570956	1.100984648940664	1.0212107645756066	
GRAP2	220	31	0.011485258811220601	0.3601586087939656	-36.69721910462651	0.6596592161525465	1.0212107645756066	
TONSL	238	34	0.011989734144827055	0.3601586087939656	-35.82206545169509	0.6398507350723666	1.0212107645756066	
RSBN1	71	6	0.012255519668959677	0.3601586087939656	-62.03558801367879	1.397280431798288	1.0212107645756066	
CLPTM1	73	6	0.012566167101142533	0.3601586087939656	-63.075708890016344	1.4373578711736232	1.0212107645756066	
MAP3K3	73	6	0.012566167101142533	0.3601586087939656	-63.075708890016344	1.4373578711736232	1.0212107645756066	
TRAF7	99	10	0.01269588583269726	0.3604589577714695	-54.62166244059249	1.1399243382070094	1.020377176806362	
SPAG5	58	4	0.012896666190268255	0.3604589577714695	-69.01754883874935	1.6904768081423343	1.020377176806362	
MTF1	58	4	0.012896666190268255	0.3604589577714695	-69.01754883874935	1.6904768081423343	1.020377176806362	
RELA	99	10	0.012696054279958425	0.3604589577714695	-54.62166244059249	1.1399243382070094	1.020377176806362	
PFDN1	57	4	0.01276871820017258	0.3604589577714695	-68.47399706399057	1.6653858271795037	1.020377176806362	
CCND3	432	71	0.01316506952409326	0.3609551662922796	-26.165663262714023	0.4376361956735487	1.0190015214580357	
DDX6	305	47	0.013168418169580932	0.3609551662922796	-30.771998470844856	0.5305723937873732	1.0190015214580357	
MLLT6	66	5	0.013089919156121003	0.3609551662922796	-65.96624683044436	1.5549618374858531	1.0190015214580357	
ZC3H4	109	12	0.013490609356197029	0.3609551662922796	-50.54177521048062	1.0157176370705323	1.0190015214580357	
DPF2	190	26	0.01382884445721267	0.36272935539443324	-38.5242942747816	0.7019117032046177	1.0140983002241681	
SPAG7	33	1	0.013917873072529712	0.36425150662649586	-86.38649873217774	2.8768899323732153	1.0099106976724235	
LRRC14	121	14	0.014189709124445954	0.36743287995409074	-48.02117697740593	0.9440041282317522	1.0012146165905904	
BSCL2	34	1	0.01424612388332059	0.36743287995409074	-86.78689582829016	2.9199586542651015	1.0012146165905904	
CSAD	34	1	0.014246721838299359	0.36743287995409074	-86.78689582829016	2.9199586542651015	1.0012146165905904	
EEF1D	121	14	0.014189634735368667	0.36743287995409074	-48.02117697740593	0.9440041282317522	1.0012146165905904	
TRIM39-RPP21	34	1	0.014246034319943682	0.36743287995409074	-86.78689582829016	2.9199586542651015	1.0012146165905904	
IKZF3	618	108	0.014412930211429146	0.36818770198805195	-21.491070358384267	0.34907133875566804	0.9991624110993237	
SAMD4B	134	16	0.014796676353521589	0.3755415633482337	-46.35874127305858	0.8985850034725347	0.9793861258921388	
TAP1	102	11	0.014877441146790928	0.37596733530309717	-51.55195137039726	1.0454895363489602	0.9782530135599143	
TOP2A	102	11	0.014877441146790928	0.37596733530309717	-51.55195137039726	1.0454895363489602	0.9782530135599143	
NSD2	103	11	0.014990562526864166	0.3780130906720618	-52.022320774568165	1.0595647215606832	0.9728264525546318	
VMP1	515	88	0.015473903436472904	0.38605910675582394	-23.23571323930906	0.3814928164480455	0.9517647949295183	
SIPA1	76	7	0.015718743820911908	0.3913367767786776	-58.622121146487615	1.2730684044007434	0.9381867680368359	
CDK12	185	25	0.015763765836920834	0.391627933085955	-39.2911429948467	0.7200210837563494	0.9374430402109715	
EHD1	212	30	0.015800203464586025	0.39170504411888263	-36.427517664414935	0.6535256719694429	0.9372461608878212	
FANCI	160	21	0.016298524726928425	0.4004137595910172	-41.03652263374485	0.7621064851233641	0.9152568675185911	
ACACA	228	33	0.01624070590236725	0.4004137595910172	-34.97761894448055	0.6209917078210505	0.9152568675185911	
NEDD8-MDP1	137	17	0.016497344120304794	0.40136706161014835	-44.254202837603756	0.8430650547249493	0.9128789047558422	
NEDD8	137	17	0.016497344120304794	0.40136706161014835	-44.254202837603756	0.8430650547249493	0.9128789047558422	
TMC6	40	2	0.016591688410072077	0.402569980369175	-77.53772290809327	2.1544239079021246	0.9098863329649175	
PSMD5	41	2	0.016685295257494674	0.4034339600222632	-78.08558332496905	2.1900478176328457	0.9077424725178266	
BACH2	188	26	0.016983652250864553	0.40593153787589836	-37.8702974053644	0.6866449465513076	0.9015707595207861	
ABCA7	70	6	0.01686051748618004	0.40593153787589836	-61.49323927101705	1.3768163292385724	0.9015707595207861	
CAPN1	337	54	0.018609557457599585	0.40644794467817696	-28.014067479942845	0.47421309203315176	0.9002994155665756	
RPTOR	1185	225	0.017548610071026115	0.40644794467817696	-14.70021357503776	0.22938596558334634	0.9002994155665756	
PBRM1	402	67	0.020057451229779637	0.40644794467817696	-25.12574302697759	0.41745831373591813	0.9002994155665756	
PANK4	49	3	0.018215540984532676	0.40644794467817696	-72.49517090786934	1.8622431564088142	0.9002994155665756	
SETDB1	74	7	0.021160015626944646	0.40644794467817696	-57.50380009639269	1.2345942565861077	0.9002994155665756	
ELF1	143	18	0.01873730666858137	0.40644794467817696	-43.45161011827678	0.8224421483508392	0.9002994155665756	
SUPT6H	82	8	0.01977015575671047	0.40644794467817696	-56.17116664993811	1.1900478176328457	0.9002994155665756	
ZNRD1ASP	141	18	0.01852653877544938	0.40644794467817696	-42.64950529725943	0.8021221639712431	0.9002994155665756	
PTK2	93	10	0.02147937823548191	0.40644794467817696	-51.694027759340386	1.0497265292354312	0.9002994155665756	
NDOR1	74	7	0.021160015626944646	0.40644794467817696	-57.50380009639269	1.2345942565861077	0.9002994155665756	
LSM12	113	13	0.020677590302438858	0.40644794467817696	-48.316884567294274	0.9522350572888577	0.9002994155665756	
CCDC47	159	21	0.020436973064437227	0.40644794467817696	-40.66568315345395	0.7530613455203572	0.9002994155665756	
SIRT2	31	1	0.020946315196786754	0.40644794467817696	-85.50820832780211	2.7866921234016373	0.9002994155665756	
ETFB	74	7	0.021160015626944646	0.40644794467817696	-57.50380009639269	1.2345942565861077	0.9002994155665756	
MSH5-SAPCD1	143	18	0.018733963496402647	0.40644794467817696	-43.45161011827678	0.8224421483508392	0.9002994155665756	
DEF6	123	15	0.020719739192626065	0.40644794467817696	-45.213958312422626	0.8681197227454834	0.9002994155665756	
FOSL1	55	4	0.0178970211794493	0.40644794467817696	-67.32759695722659	1.6138555265394217	0.9002994155665756	
RAB7A	93	10	0.02147937823548191	0.40644794467817696	-51.694027759340386	1.0497265292354312	0.9002994155665756	
ATN1	101	11	0.0196712015526786	0.40644794467817696	-51.07226772059922	1.0312756771292597	0.9002994155665756	
CDR2	93	10	0.02147937823548191	0.40644794467817696	-51.694027759340386	1.0497265292354312	0.9002994155665756	
RNF123	62	5	0.017470636998034285	0.40644794467817696	-63.77052081950529	1.4647640285142751	0.9002994155665756	
GRK2	94	10	0.02178479237649334	0.4076323172232058	-52.207921081049534	1.0651565698050374	0.8973896941642053	
SF3B3	94	10	0.02178479237649334	0.4076323172232058	-52.207921081049534	1.0651565698050374	0.8973896941642053	
MYH10	32	1	0.02167754038927918	0.4076323172232058	-85.96107681755831	2.832495813014762	0.8973896941642053	
PRR3	32	1	0.02167754038927918	0.4076323172232058	-85.96107681755831	2.832495813014762	0.8973896941642053	
NXF1	61	5	0.0245764927227536	0.41182652792371216	-63.176594931300464	1.441305055690286	0.8871530670273701	
TC2N	196	28	0.024476278099865457	0.41182652792371216	-35.82206545169508	0.6398507350723661	0.8871530670273701	
NFATC3	720	131	0.023865468407591555	0.41182652792371216	-18.2622694711172	0.2909259078069864	0.8871530670273701	
ARIH2	467	80	0.023443967462756326	0.41182652792371216	-23.04144893565149	0.3778464578370616	0.8871530670273701	
HAUS3	87	9	0.024057888181989593	0.41182652792371216	-53.52632325812402	1.105514307421178	0.8871530670273701	
ANTXR2	196	28	0.024476278099865457	0.41182652792371216	-35.82206545169508	0.6398507350723661	0.8871530670273701	
RBM10	53	4	0.025060450040479118	0.41182652792371216	-66.09467608768796	1.5604162675779614	0.8871530670273701	
LOC105369632	97	11	0.02516308799670031	0.41182652792371216	-49.054629276087844	0.9729770365645924	0.8871530670273701	
FCHO1	116	14	0.02321352735418766	0.41182652792371216	-45.78071046781135	0.8831218860847301	0.8871530670273701	
SH3GL1	117	14	0.023405813257545916	0.41182652792371216	-46.24412319885571	0.8955056105405627	0.8871530670273701	
LARS	59	5	0.024072909727596174	0.41182652792371216	-61.92834391202251	1.3932107674892409	0.8871530670273701	
LOC100294145	155	21	0.025085593289816265	0.41182652792371216	-39.134474976768885	0.7163027955102395	0.8871530670273701	
NELFB	195	28	0.024281367218507106	0.41182652792371216	-35.49294783862685	0.6324712047067687	0.8871530670273701	
RRM2B	45	3	0.025162448100776592	0.41182652792371216	-70.05029721079103	1.7393864086232806	0.8871530670273701	
LRRC8A	61	5	0.0245764927227536	0.41182652792371216	-63.176594931300464	1.441305055690286	0.8871530670273701	
TNFSF12-TNFSF13	38	2	0.02408903680296431	0.41182652792371216	-76.35549779799292	2.0804233264583476	0.8871530670273701	
DHX16	38	2	0.024088239650769422	0.41182652792371216	-76.35549779799292	2.0804233264583476	0.8871530670273701	
TMEM164	38	2	0.024088239650769422	0.41182652792371216	-76.35549779799292	2.0804233264583476	0.8871530670273701	
DVL2	59	5	0.024072909727596174	0.41182652792371216	-61.92834391202251	1.3932107674892409	0.8871530670273701	
ZNF595	45	3	0.025162448100776592	0.41182652792371216	-70.05029721079103	1.7393864086232806	0.8871530670273701	
CUL1	53	4	0.025060450040479118	0.41182652792371216	-66.09467608768796	1.5604162675779614	0.8871530670273701	
VIRMA	45	3	0.025162448100776592	0.41182652792371216	-70.05029721079103	1.7393864086232806	0.8871530670273701	
NSD1	826	153	0.02571832927428126	0.417952058770065	-16.786237407706338	0.26510594174155583	0.8723885449726474	
PTGES3	143	19	0.02573354368729357	0.417952058770065	-40.310032902625494	0.744439636349566	0.8723885449726474	
VCP	54	4	0.02571372993346871	0.417952058770065	-66.72255245643449	1.5873833151782306	0.8723885449726474	
FMNL3	199	29	0.026031652567762232	0.41903828674489585	-34.53205671705578	0.6111394384308387	0.8697929867551105	
HBS1L	145	19	0.025973800993593893	0.41903828674489585	-41.13334279362377	0.764477389586111	0.8697929867551105	
RPS6KA1	79	8	0.026021418529564622	0.41903828674489585	-54.506780573353474	1.136276561191865	0.8697929867551105	
ZNF598	132	17	0.02613734568904644	0.4201640891819216	-42.142619611755414	0.7894270911228762	0.8671099554752293	
USP9X	133	17	0.02628639406634515	0.4209497500413658	-42.577637509411396	0.8003154072656125	0.8652418109951345	
SDF4	122	15	0.026638856640678808	0.4253168537834466	-44.764892396950685	0.8563425549691298	0.8549208495193641	
RIPOR2	235	36	0.028106422627599853	0.4427326706393108	-31.17940635671132	0.5390877581374494	0.814789143369078	
PITPNM1	71	7	0.028322909538056492	0.4455455287572983	-55.70818601595858	1.17488801046184	0.8084558403069501	
TADA2A	73	7	0.029004231006736457	0.4538331805062052	-56.92166037168573	1.2149654498371751	0.7900255922837417	
RPA1	240	37	0.02972322675774601	0.46078844014547937	-30.74131229995427	0.5299330429943307	0.774816256404972	
RNF41	65	6	0.03085137001155539	0.47143621457189516	-58.53118075340298	1.2699011253220602	0.7519714679860412	
CYTIP	83	9	0.03100992140448329	0.47324361873257553	-51.286627993455305	1.0376102429193745	0.7481449729084408	
ANK3	197	29	0.03147079947751338	0.4755276609937747	-33.867407546670556	0.5965666373435661	0.7433302262516821	
ORAI1	28	1	0.03143221578718639	0.4755276609937747	-83.95551636292376	2.639850735072366	0.7433302262516821	
HNRNPD	29	1	0.03156425628245632	0.4755276609937747	-84.50877441937467	2.6904768081423343	0.7433302262516821	
ABHD2	66	6	0.03155947636140409	0.4755276609937747	-59.15949619653323	1.2919274316520595	0.7433302262516821	
KCMF1	66	6	0.03155947636140409	0.4755276609937747	-59.15949619653323	1.2919274316520595	0.7433302262516821	
R3HDM1	84	9	0.031242707332602974	0.4755276609937747	-51.86654908877131	1.05488823435121	0.7433302262516821	
SLC5A6	28	1	0.03143221578718639	0.4755276609937747	-83.95551636292376	2.639850735072366	0.7433302262516821	
